id: Gobiocypris_rarus:0.21006925 | external/internal (T/F): True | ancestor: None

id: Danio_rerio:0.19189371 | external/internal (T/F): True | ancestor: None

id: (Oryzias_latipes:0.84723170,((Marsupenaeus_japonicus:2.13937634,(Drosophila_melanogaster:1.50486951,Bombyx_mori:1.21941407)0.533000:0.17840451)0.928000:0.36496209,(Mouse_p53:0.19658049,((Cricetulus_griseus:0.10016937,Microtus_ochrogaster:0.07571016)0.999000:0.11975202,(Canis_lupus:0.13043219,((Homo_sapiens:0.03963178,(Macaca_mulatta:0.00000012,Macaca_fascicularis:0.00304606)0.985000:0.02428087)1.000000:0.18106018,(Delphinapterus_leucas:0.02961825,Bubalus_bubalis:0.10883105)0.981000:0.03566226)0.887000:0.05289516)1.000000:0.18216924)0.041000:0.05880152)0.996000:0.41153571)0.968000:0.32073821)1.000000:0.53332303 | external/internal (T/F): False | ancestor: None

id: Oryzias_latipes:0.84723170 | external/internal (T/F): True | ancestor: (Oryzias_latipes:0.84723170,((Marsupenaeus_japonicus:2.13937634,(Drosophila_melanogaster:1.50486951,Bombyx_mori:1.21941407)0.533000:0.17840451)0.928000:0.36496209,(Mouse_p53:0.19658049,((Cricetulus_griseus:0.10016937,Microtus_ochrogaster:0.07571016)0.999000:0.11975202,(Canis_lupus:0.13043219,((Homo_sapiens:0.03963178,(Macaca_mulatta:0.00000012,Macaca_fascicularis:0.00304606)0.985000:0.02428087)1.000000:0.18106018,(Delphinapterus_leucas:0.02961825,Bubalus_bubalis:0.10883105)0.981000:0.03566226)0.887000:0.05289516)1.000000:0.18216924)0.041000:0.05880152)0.996000:0.41153571)0.968000:0.32073821)1.000000:0.53332303

id: ((Marsupenaeus_japonicus:2.13937634,(Drosophila_melanogaster:1.50486951,Bombyx_mori:1.21941407)0.533000:0.17840451)0.928000:0.36496209,(Mouse_p53:0.19658049,((Cricetulus_griseus:0.10016937,Microtus_ochrogaster:0.07571016)0.999000:0.11975202,(Canis_lupus:0.13043219,((Homo_sapiens:0.03963178,(Macaca_mulatta:0.00000012,Macaca_fascicularis:0.00304606)0.985000:0.02428087)1.000000:0.18106018,(Delphinapterus_leucas:0.02961825,Bubalus_bubalis:0.10883105)0.981000:0.03566226)0.887000:0.05289516)1.000000:0.18216924)0.041000:0.05880152)0.996000:0.41153571)0.968000:0.32073821 | external/internal (T/F): False | ancestor: (Oryzias_latipes:0.84723170,((Marsupenaeus_japonicus:2.13937634,(Drosophila_melanogaster:1.50486951,Bombyx_mori:1.21941407)0.533000:0.17840451)0.928000:0.36496209,(Mouse_p53:0.19658049,((Cricetulus_griseus:0.10016937,Microtus_ochrogaster:0.07571016)0.999000:0.11975202,(Canis_lupus:0.13043219,((Homo_sapiens:0.03963178,(Macaca_mulatta:0.00000012,Macaca_fascicularis:0.00304606)0.985000:0.02428087)1.000000:0.18106018,(Delphinapterus_leucas:0.02961825,Bubalus_bubalis:0.10883105)0.981000:0.03566226)0.887000:0.05289516)1.000000:0.18216924)0.041000:0.05880152)0.996000:0.41153571)0.968000:0.32073821)1.000000:0.53332303

id: (Marsupenaeus_japonicus:2.13937634,(Drosophila_melanogaster:1.50486951,Bombyx_mori:1.21941407)0.533000:0.17840451)0.928000:0.36496209 | external/internal (T/F): False | ancestor: ((Marsupenaeus_japonicus:2.13937634,(Drosophila_melanogaster:1.50486951,Bombyx_mori:1.21941407)0.533000:0.17840451)0.928000:0.36496209,(Mouse_p53:0.19658049,((Cricetulus_griseus:0.10016937,Microtus_ochrogaster:0.07571016)0.999000:0.11975202,(Canis_lupus:0.13043219,((Homo_sapiens:0.03963178,(Macaca_mulatta:0.00000012,Macaca_fascicularis:0.00304606)0.985000:0.02428087)1.000000:0.18106018,(Delphinapterus_leucas:0.02961825,Bubalus_bubalis:0.10883105)0.981000:0.03566226)0.887000:0.05289516)1.000000:0.18216924)0.041000:0.05880152)0.996000:0.41153571)0.968000:0.32073821
