Species | Genes | Unique Genes
Species_0: | 1512 | 1508
Species_1: | 1853 | 1841
Species_2: | 1843 | 1843
Species_3: | 1678 | 1678
Species_4: | 1558 | 1558
Species_5: | 3219 | 3219
Species_6: | 2243 | 2243
Species_7: | 1606 | 1606
Species_8: | 1557 | 1557
Species_9: | 1652 | 1652
Species_10: | 1943 | 1943
Species_11: | 2324 | 2324
Species_12: | 1468 | 1468
Species_13: | 1604 | 1600

Number of gene names that are unique for species i that are also among the unique names for species j...
           Species_0  Species_1  Species_2  Species_3  Species_4  Species_5  Species_6  Species_7  Species_8  Species_9  Species_10 Species_11 Species_12 Species_13 
Species_0  1508       1389       1394       1262       1312       1337       1084       1360       1356       1354       1365       960        1271       1349       
Species_1  1389       1841       1766       1525       1411       1624       1240       1480       1444       1481       1634       1114       1350       1492       
Species_2  1394       1766       1843       1514       1419       1629       1252       1475       1452       1488       1653       1125       1349       1496       
Species_3  1262       1525       1514       1678       1279       1464       1144       1349       1306       1334       1487       1008       1224       1336       
Species_4  1312       1411       1419       1279       1558       1367       1104       1375       1360       1400       1399       958        1226       1378       
Species_5  1337       1624       1629       1464       1367       3219       1597       1426       1387       1444       1598       1694       1301       1433       
Species_6  1084       1240       1252       1144       1104       1597       2243       1161       1117       1243       1238       1237       1073       1142       
Species_7  1360       1480       1475       1349       1375       1426       1161       1606       1396       1464       1439       1020       1312       1423       
Species_8  1356       1444       1452       1306       1360       1387       1117       1396       1557       1391       1414       997        1281       1413       
Species_9  1354       1481       1488       1334       1400       1444       1243       1464       1391       1652       1446       997        1331       1435       
Species_10 1365       1634       1653       1487       1399       1598       1238       1439       1414       1446       1943       1119       1341       1455       
Species_11 960        1114       1125       1008       958        1694       1237       1020       997        997        1119       2324       948        1011       
Species_12 1271       1350       1349       1224       1226       1301       1073       1312       1281       1331       1341       948        1468       1311       
Species_13 1349       1492       1496       1336       1378       1433       1142       1423       1413       1435       1455       1011       1311       1600       
