	macaca_mulatta	felis_catus	Node_24	Node_3	pan_troglodytes	chlorocebus_sabaeus	Node_5	Node_22	homo_sapiens	Node_11	rattus_norvegicus	callithrix_jacchus	equus_caballus	canis_familiaris	sus_scrofa	Node_4	pongo_abelii	mus_musculus	Node_21	Node_1	Node_2	Node_6	Node_8	oryctolagus_cuniculus	gorilla_gorilla	bos_taurus	Node_20	papio_anubis	Node_28	ovis_aries	Node_12
ENST00000617421	0.9214884700021508					1.6260321460218066		-1.141102228383273			-3.6435172437052574							-1.10242910339285		6.264016713985768					-1.6294940148105581		-0.31582274276029965	-0.18259047876516532			
ENST00000407236	-2.102015426349401			4.008067908311268	-1.246317797311036	-1.8671171768810926		0.19039891373760262	-1.2190520488200294				-0.7262252651722529		-0.3279217849110228					0.745811265680589	-1.5828813800713424						-0.9122503165146654	1.6460950071645661			
ENST00000269503			-1.5278122164523213		-1.323611883814912				-1.2637720018580354						0.1909367118111873		-0.3680694980991099						0.6929888916368686		1.5302247305151626	-0.9449185243918038			0.8166605854947363	0.516394798529593	
ENST00000199448	0.5434864433120834		0.14308917787210013		0.08514681762343569	0.21015866257208757		0.36905397384753125	-0.39885648196868423								-0.5116735561402097								-1.3575292459861965		0.33665006519550983	0.6441209111965613	0.16680960652684065		
ENST00000199447	0.6714628783654005	-2.1706961664784945	-0.4144049775523769		-0.27226772427874096	-0.560963753908105		-1.861068519662396	2.6875813303894094					1.638246296517549			-0.09897748765956667		-1.1152650180206356						1.1249238212099273		1.0381874480121973	0.3853904590288148	-1.6520709282218156		
ENST00000493476					1.9961313619907355				-0.38272655927561855								-0.29575286629817804								-0.6820851800512101				-0.6858715101585977		
ENST00000259631		0.4393311917549926				-1.313743905885907							0.3637424715996091	-0.8838753147660381							0.226452093096463	1.3632762151391475			-1.1377137974860942		-0.4366853703976456				
ENST00000259632		0.02730767995796355				0.8127772099855056	-0.9126018507917315			-0.6086966471119436	-0.6375393568605943	1.3285490600176817	2.451104020144378	-1.7451134274923394		-2.3677631306332794		2.1176085044304656		-0.28920720728087085	-0.5936565001653643	-0.16537170734621628		0.2698675950271785	1.598881208195955	-0.1597712692166213	1.1929541784175453			-1.6549054269947854	-0.32883873742583825
ENST00000372617		3.314259646558761			1.4400279414318555	-1.8268329068220388	-1.044727651556944		4.791810983729291	0.623256992853426	-0.5012102224751986	1.8769100547928201	-0.7956553136602439	2.96350931510157		-0.05626026802691336		-0.9570808951853623		-2.282643064464908	-0.0772047085107722	-2.3472609491891316		-2.1532985244211695	-0.9260589032373024	-1.2361340586351373	0.02146119214483651		3.2161837208410815	1.9165838627291973	-1.7486483493750087
ENST00000587652		0.24596764911213545	1.8831021498591844	4.501608582120009	-1.4140096987715827	-0.4300404439358991			0.3999570051811721	-0.7622311639532138	-0.5821334622801188		1.2865070431141863	2.4886705761561423	2.2402603675045536	3.739978177059258	-0.004558891388247203	0.7551548482417191	-1.1235756267543378	-1.9949062771868586	0.90676892419605	-0.3748017808959379	0.7696321970437617	-5.610642988869963	-0.0009518507193063796	-1.2201586388887855	-1.1214971874038162		0.7715887159710323	-0.9798523291685788	
ENST00000621465	-1.2062742547035323		-1.3523566724674445			1.299599258295984		-0.8439145475901906				1.5031674605068865					-0.780332675172448		-1.6804997447364654						0.2923898278496266		-0.5822256736637117	1.4380107276218494			
ENST00000256509					3.4260424591065304	0.08564904945927362			0.9619456152618732				-1.9512274187429408												3.3007671802443084		0.07969094164023888		-0.7679113734457684		
